stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:520:0:10","Hietzing","48.18760761","16.30481767","0100"
"at:49:520:0:14","Hietzing","48.18840414","16.30397325","0100"
"at:49:520:0:15","Hietzing","48.18767948","16.30409902","0100"
"at:49:520:0:18","Hietzing","48.18775733","16.30348816","0100"
"at:49:520:0:2","Hietzing","48.18778129","16.30337138","0100"
"at:49:520:0:4","Hietzing","48.18752376","16.30480868","0100"
"at:49:520:0:5","Hietzing","48.18828436","16.30370376","0100"
"at:49:520:0:6","Hietzing","48.18781123","16.30324562","0100"
"at:49:520:0:9","Hietzing","48.18729019","16.30452122","0100"
"at:49:521:0:1","Obere Waldandacht","48.25320514","16.27378087","0100"
"at:49:521:0:2","Obere Waldandacht","48.25307953","16.27357426","0100"
"at:49:523:0:1","Hillerstraße","48.22141640","16.40749510","0100"
"at:49:523:0:2","Hillerstraße","48.22088372","16.40802511","0100"
"at:49:523:0:4","Hillerstraße","48.22083584","16.40742324","0100"
"at:49:524:0:1","Himberger Straße","48.14348555","16.38227939","0100"
"at:49:524:0:3","Himberger Straße","48.14267034","16.38254889","0100"
"at:49:524:0:4","Himberger Straße","48.14295207","16.38355500","0100"
"at:49:524:0:5","Himberger Straße","48.14360543","16.38276448","0100"
"at:49:525:0:1","Himmelmutterweg","48.23062657","16.29622079","0100"
"at:49:525:0:2","Himmelmutterweg","48.23067445","16.29579858","0100"
"at:49:526:0:1","Himmelstraße","48.25717062","16.33759719","0100"
"at:49:527:0:2","Hintere Zollamtsstraße","48.21118691","16.38746267","0100"
"at:49:527:0:3","Hintere Zollamtsstraße","48.21116895","16.38653741","0100"
"at:49:527:0:6","Hintere Zollamtsstraße","48.21086365","16.38701352","0100"
"at:49:528:0:1","Am Krautgarten","48.23473741","16.46134012","0100"
"at:49:529:0:1","Hirschengasse","48.19301540","16.34901478","0100"
"at:49:529:0:2","Hirschengasse","48.19317110","16.34930224","0100"
"at:49:53:0:1","Gesundheitszentrum Süd","48.17008077","16.34484660","0100"
"at:49:53:0:2","Gesundheitszentrum Süd","48.17016464","16.34537660","0100"
"at:49:53:0:3","Gesundheitszentrum Süd","48.16967337","16.34546643","0100"
"at:49:530:0:1","Hirschstetten Ort","48.23486904","16.46605628","0100"
"at:49:530:0:2","Hirschstetten Ort","48.23496478","16.46620001","0100"
